id,rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,runtime,genre,imdb_rating,poster_path,created_at
55,55,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,9.1,961489,彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,导演: 彼得·杰克逊 Peter Jackson   伊利亚·伍德 Elijah Wood / 西恩...,,https://movie.douban.com/subject/1291571/,2002,179分钟,剧情 / 动作 / 奇幻 / 冒险,7.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\055_指环王1：护戒使者.jpg,2026-05-13 14:52:19
56,56,罗马假日,Roman Holiday,9.1,1049616,威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,导演: 威廉·惠勒 William Wyler   奥黛丽·赫本 Audrey Hepburn / 格...,,https://movie.douban.com/subject/1293839/,1953,118分钟,剧情 / 喜剧 / 爱情,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\056_罗马假日.jpg,2026-05-13 14:52:19
57,57,教父2,The Godfather: Part II,9.3,641151,弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   阿尔·帕西诺 A...,,https://movie.douban.com/subject/1299131/,1974,202分钟,剧情 / 犯罪,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\057_教父2.jpg,2026-05-13 14:52:19
58,58,狮子王,The Lion King,9.1,962297,Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   乔纳森·泰勒·托马...,,https://movie.douban.com/subject/1301753/,1995,89 分钟,动画 / 歌舞 / 冒险,7.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\058_狮子王.jpg,2026-05-13 14:52:19
59,59,天堂电影院,Nuovo Cinema Paradiso,9.2,742309,朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   菲利普·努瓦雷 Philipp...,,https://movie.douban.com/subject/1291828/,2021,173分钟(导演剪辑版),剧情 / 爱情,5.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\059_天堂电影院.jpg,2026-05-13 14:52:19
60,60,饮食男女,飲食男女,9.2,726738,李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,导演: 李安 Ang Lee   郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,,https://movie.douban.com/subject/1291818/,1994,124分钟,剧情 / 家庭,7.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\060_饮食男女.jpg,2026-05-13 14:52:19
61,61,辩护人,변호인,9.2,658848,杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,导演: 杨宇硕 Woo-seok Yang   宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,2013,127分钟,剧情,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\061_辩护人.jpg,2026-05-13 14:52:19
62,62,本杰明·巴顿奇事,The Curious Case of Benjamin Button,9.0,1106709,大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布...,导演: 大卫·芬奇 David Fincher   布拉德·皮特 Brad Pitt / 凯特·布...,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,2008,166分钟,剧情 / 爱情 / 奇幻,5.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\062_本杰明·巴顿奇事.jpg,2026-05-13 14:52:19
63,63,搏击俱乐部,Fight Club,9.0,977488,大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,导演: 大卫·芬奇 David Fincher   爱德华·诺顿 Edward Norton / 布拉...,,https://movie.douban.com/subject/1292000/,1999,139 分钟,剧情 / 动作 / 悬疑 / 惊悚,3.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\063_搏击俱乐部.jpg,2026-05-13 14:52:19
64,64,美丽心灵,A Beautiful Mind,9.1,854569,朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,导演: 朗·霍华德 Ron Howard   罗素·克劳 Russell Crowe / 艾德·哈...,,https://movie.douban.com/subject/1306029/,2001,135分钟,剧情 / 传记,8.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\064_美丽心灵.jpg,2026-05-13 14:52:19
65,65,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,9.2,642851,马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,导演: 马克·赫尔曼 Mark Herman   阿萨·巴特菲尔德 Asa Butterfield ...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,2008,94分钟,剧情 / 战争,8.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\065_穿条纹睡衣的男孩.jpg,2026-05-13 14:52:19
66,66,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,9.0,972571,大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,导演: 大卫·叶茨 David Yates   丹尼尔·雷德克里夫 Daniel Radcliffe...,10年的完美句点。,https://movie.douban.com/subject/3011235/,2011,130分钟,奇幻 / 冒险,7.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\066_哈利·波特与死亡圣器(下).jpg,2026-05-13 14:52:19
67,67,情书,Love Letter,8.9,1328183,岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,导演: 岩井俊二 Shunji Iwai   中山美穗 Miho Nakayama / 丰川悦司 Ets...,,https://movie.douban.com/subject/1292220/,1999,117分钟,剧情 / 爱情,8.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\067_情书.jpg,2026-05-13 14:52:19
68,68,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,679182,盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,导演: 盖·里奇 Guy Ritchie   杰森·弗莱明 Jason Flemyng / 德克斯特...,,https://movie.douban.com/subject/1293350/,1998,107分钟,剧情 / 喜剧 / 犯罪,5.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\068_两杆大烟枪.jpg,2026-05-13 14:52:19
69,69,窃听风暴,Das Leben der Anderen,9.2,633065,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,别样人生。,https://movie.douban.com/subject/1900841/,2006,137分钟,剧情 / 悬疑,4.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\069_窃听风暴.jpg,2026-05-13 14:52:19
70,70,功夫,,8.9,1339120,周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,导演: 周星驰 Stephen Chow   周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,2004,100分钟(3D重映),喜剧 / 动作 / 犯罪 / 奇幻,4.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\070_功夫.jpg,2026-05-13 14:52:19
71,71,音乐之声,The Sound of Music,9.1,685443,罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,导演: 罗伯特·怀斯 Robert Wise   朱莉·安德鲁斯 Julie Andrews / 克...,,https://movie.douban.com/subject/1294408/,1965,174分钟,剧情 / 爱情 / 歌舞 / 传记,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\071_音乐之声.jpg,2026-05-13 14:52:19
72,72,哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,9.0,893122,阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...,导演: 阿方索·卡隆 Alfonso Cuarón   丹尼尔·雷德克里夫 Daniel Rad...,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/,2004,141分钟,奇幻 / 冒险,1.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\072_哈利·波特与阿兹卡班的囚徒.jpg,2026-05-13 14:52:19
73,73,阿凡达,Avatar,8.8,1588565,詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,导演: 詹姆斯·卡梅隆 James Cameron   萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,2010,162分钟,动作 / 科幻 / 冒险,9.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\073_阿凡达.jpg,2026-05-13 14:52:19
